traffic_type,ts,src_ip,src_port,dst_ip,dst_port,label,kali_source,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_sm_ips_ports,proto,service,state
dns_brust,1787882938.384353,192.168.10.30,48714,192.168.10.20,53,1,1,0.000435,1,1,76,80,4597.701149425287,1397701.1494252873,1471264.367816092,76.0,80.0,67,67,67,67,67,1,67,0,udp,dns,FIN
dns_brust,1787882938.394394,192.168.10.30,42315,192.168.10.20,53,1,1,0.00047,1,1,76,80,4255.319148936171,1293617.0212765958,1361702.1276595746,76.0,80.0,68,68,68,68,68,1,68,0,udp,dns,FIN
dns_brust,1787882938.404065,192.168.10.30,44534,192.168.10.20,53,1,1,0.000442,1,1,76,80,4524.886877828054,1375565.6108597284,1447963.8009049774,76.0,80.0,69,69,69,69,69,1,69,0,udp,dns,FIN
dns_brust,1787882938.414582,192.168.10.30,42587,192.168.10.20,53,1,1,0.000706,1,1,76,80,2832.8611898016998,861189.8016997167,906515.5807365439,76.0,80.0,70,70,70,70,70,1,70,0,udp,dns,FIN
dns_brust,1787882938.42505,192.168.10.30,44314,192.168.10.20,53,1,1,0.000392,1,1,76,80,5102.040816326531,1551020.4081632653,1632653.06122449,76.0,80.0,71,71,71,71,71,1,71,0,udp,dns,FIN
dns_brust,1787882938.435159,192.168.10.30,45744,192.168.10.20,53,1,1,0.000496,1,1,76,80,4032.258064516129,1225806.4516129033,1290322.5806451612,76.0,80.0,72,72,72,72,72,1,72,0,udp,dns,FIN
dns_brust,1787882938.445512,192.168.10.30,52933,192.168.10.20,53,1,1,1.166241,2,2,152,160,3.4298228239274726,1042.6661384739516,1097.5433036567913,76.0,80.0,73,73,73,73,73,1,73,0,udp,dns,FIN
dns_brust,1787882938.457335,192.168.10.30,33123,192.168.10.20,53,1,1,0.000474,1,1,76,80,4219.409282700422,1282700.4219409283,1350210.970464135,76.0,80.0,74,74,74,74,74,1,74,0,udp,dns,FIN
dns_brust,1787882938.467669,192.168.10.30,51041,192.168.10.20,53,1,1,0.000332,1,1,76,80,6024.096385542169,1831325.3012048192,1927710.843373494,76.0,80.0,75,75,75,75,75,1,75,0,udp,dns,FIN
dns_brust,1787882938.477781,192.168.10.30,38012,192.168.10.20,53,1,1,0.00068,1,1,76,80,2941.176470588235,894117.6470588235,941176.4705882352,76.0,80.0,76,76,76,76,76,1,76,0,udp,dns,FIN
